name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
12a_826,"[[ -1, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 1, 0, 1, 0, 0], [ 0, -1, 0, 0, -1, 0, 0, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 1, 0, 1, 1, 0], [ 0, 1, 0, -1, 1, -1, -1, 2]]",2,,,2-6*t+11*t^2-16*t^3+19*t^4-16*t^5+11*t^6-6*t^7+2*t^8
12a_827,"[[ -1, -1, 0, 0, -1, 0], [ 0, -1, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0], [ 0, 0, 0, 2, 0, 0], [ 0, -1, 0, 0, -1, 0], [ 0, 1, 0, 1, 1, 2]]",4,,,4-13*t+21*t^2-23*t^3+21*t^4-13*t^5+4*t^6
12a_828,"[[ -1, 0, 0, -1, 1, 0], [ 0, -1, 0, 1, -1, 0], [ -1, 0, -1, -1, 1, 0], [ 0, 0, 0, -3, 1, -1], [ 0, 0, 0, 1, -2, -1], [ 0, 0, 0, -1, 0, -2]]",7,,,7-24*t+42*t^2-49*t^3+42*t^4-24*t^5+7*t^6
12a_829,"[[ -1, 0, 0, 0, 1, 1, 0, 1], [ 0, -1, 0, 0, -1, -1, 0, -1], [ -1, 0, -1, 0, 1, 1, 0, 1], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, -1, -2, -2, 0, -2], [ 0, 0, 0, 0, -1, -2, 0, -1], [ 0, 0, 0, -1, -1, -1, -1, -1], [ 0, 0, 0, -1, -1, -2, 0, -2]]",-2,,,2-11*t+25*t^2-37*t^3+41*t^4-37*t^5+25*t^6-11*t^7+2*t^8
12a_830,"[[ -1, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 2, 0, 1, 0, 1], [ 0, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, -1, 1, 0, 0], [ 0, -1, 0, -1, -1, 0, 1, 0], [ 0, -1, 0, 0, -1, 1, 0, 1]]",2,,,2-9*t+24*t^2-42*t^3+51*t^4-42*t^5+24*t^6-9*t^7+2*t^8
12a_831,"[[ -1, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 2, 0, 1, 0, 0], [ 0, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, -1, 1, 0, 0], [ 0, -1, 0, -1, -1, 0, 1, 1], [ 0, -1, 0, -1, -1, 0, 0, 1]]",2,,,2-9*t+24*t^2-42*t^3+51*t^4-42*t^5+24*t^6-9*t^7+2*t^8
12a_832,"[[ -1, 0, 0, 0, 1, 0, 1, 0], [ 0, -1, 0, 0, -1, 0, -1, 0], [ -1, 0, -1, 0, 1, 0, 1, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, -1, -2, 0, -2, 0], [ 0, 0, 0, -1, -1, -1, -1, 0], [ 0, 0, 0, 0, -1, 0, -2, 0], [ 0, 0, 0, -1, -1, -1, -1, -1]]",-2,,,2-11*t+25*t^2-37*t^3+41*t^4-37*t^5+25*t^6-11*t^7+2*t^8
12a_833,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ 1, 1, 0, 1, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, 0, 0, 1], [ 1, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, 0, -1, -1, -1, -1], [ 0, 0, 0, 0, 0, -1, 0, -1], [ 0, 0, 0, 0, 0, -1, -1, -1], [ 0, 1, 0, 0, 0, 0, 0, -2]]",-2,,,2-9*t+19*t^2-29*t^3+33*t^4-29*t^5+19*t^6-9*t^7+2*t^8
12a_834,"[[ 1, 0, 0, 0, 0, 0], [ 1, 1, 0, 1, 0, 0], [ -1, -1, -1, -1, 0, 1], [ 1, 0, 0, 1, 0, 0], [ 0, 0, 0, 0, -2, 0], [ 0, 1, 0, 0, -1, -2]]",-4,,,4-19*t+39*t^2-49*t^3+39*t^4-19*t^5+4*t^6
12a_835,"[[ -1, -1, 0, 0, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 1, 1, 0, 0, 1, 1, 0], [ 0, -1, 0, 0, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, 1, 1, -1, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 1, 1, 0], [ 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]]",1,,,1-3*t+6*t^2-9*t^3+11*t^4-11*t^5+11*t^6-9*t^7+6*t^8-3*t^9+t^10
12a_836,"[[ -1, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 1], [ 0, 0, 0, -1, 2, 0, 0, -1], [ 0, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 1, -1, -1, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1]]",2,,,2-7*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-7*t^7+2*t^8
12a_837,"[[ -1, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, 0, 0], [ 0, 0, 0, 2, 1, 0, 0, 1], [ 0, 0, 0, 2, 2, 0, 0, 2], [ 0, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, -1, -1, -1, 1, -1], [ 0, 0, 0, 2, 1, 0, 0, 2]]",2,,,2-8*t+18*t^2-28*t^3+33*t^4-28*t^5+18*t^6-8*t^7+2*t^8
12a_838,"[[ -1, 0, 0, -1, -1, -1, -1, -1, -1, -1], [ 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [ 0, -1, 0, -1, -1, -1, -1, -1, -1, -1], [ 0, -1, 0, 0, -1, -1, -1, 0, -1, -1], [ 0, -1, 0, 0, 0, -1, -1, 0, 0, -1], [ 0, -1, 0, 0, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, -1, -1, -1], [ 0, -1, 0, 0, 0, -1, -1, 0, -1, -1], [ 0, -1, 0, 0, 0, 0, -1, 0, 0, -1]]",-1,,,1-3*t+4*t^2-5*t^3+5*t^4-5*t^5+5*t^6-5*t^7+4*t^8-3*t^9+t^10
12a_839,"[[ -1, 0, 0, -1, -1, 1, -1, -1], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, -1, -1, 1, -1, -1], [ 0, -1, 0, -1, -1, 1, -1, -1], [ 0, -1, 0, 0, -1, 1, -1, 0], [ 0, 1, 0, 0, 0, -2, 1, 0], [ 0, -1, 0, 0, 0, 0, -1, 0], [ 0, -1, 0, 0, -1, 1, -1, -1]]",-2,,,2-7*t+11*t^2-14*t^3+15*t^4-14*t^5+11*t^6-7*t^7+2*t^8
12a_840,"[[ -1, 0, 0, -1, 1, 1, -1, 1], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, -1, 1, 1, -1, 1], [ 0, -1, 0, -1, 1, 1, -1, 1], [ 0, 1, 0, 0, -2, -2, 1, -2], [ 0, 1, 0, 0, -1, -2, 1, -1], [ 0, -1, 0, 0, 0, 0, -1, 0], [ 0, 1, 0, 0, -1, -2, 1, -2]]",-2,,,2-8*t+16*t^2-24*t^3+27*t^4-24*t^5+16*t^6-8*t^7+2*t^8
